36. ROUND;AC Wolfsberger - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-rapid-vienna/8Y3Pi1b0/;Admira - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-st-polten/nP2TjLD6/;Altach - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-sturm-graz/tOexkarJ/;Austria Vienna - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-salzburg/fRqKDrLJ/;Mattersburg - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-lask-linz/UmhYkuTC/
35. ROUND;LASK Linz - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-ac-wolfsberger/080HgNTm/;Rapid Vienna - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-altach/tOJpaq6Q/;Salzburg - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-mattersburg/IqBCf3Es/;St. Polten - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-austria-vienna/vaaLhsqf/;Sturm Graz - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-admira/n1Kt0PjK/
34. ROUND;AC Wolfsberger - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-austria-vienna/M702xMbD/;Rapid Vienna - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-salzburg/zibjuOEf/;Admira - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-mattersburg/8ALx15yE/;Altach - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-st-polten/lf2fvrU0/;Sturm Graz - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-lask-linz/rH1bw2q7/
33. ROUND;Salzburg - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-sturm-graz/MqIFoQyR/;Austria Vienna - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-admira/hS8ot4al/;LASK Linz - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-rapid-vienna/EyAssppr/;Mattersburg - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-altach/0UT6mn7E/;St. Polten - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-ac-wolfsberger/rgJBn6MK/
32. ROUND;St. Polten - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-salzburg/0Yq8SpVl/;Sturm Graz - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-rapid-vienna/d0wHQOa1/;Admira - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-ac-wolfsberger/vPrCR4pe/;Altach - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-lask-linz/lfQ2lSi8/;Austria Vienna - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-mattersburg/zixLPrF7/
31. ROUND;Rapid Vienna - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-admira/CASVoZV9/;Salzburg - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-altach/6Bp4TQFr/;AC Wolfsberger - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-sturm-graz/fZHzogoG/;LASK Linz - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-austria-vienna/YJTRnFG3/;Mattersburg - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-st-polten/QgUNme1c/
30. ROUND;Admira - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-salzburg/EF05VDoT/;Austria Vienna - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-rapid-vienna/WfmXQXgp/;Altach - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-ac-wolfsberger/pbiyQi9j/;St. Polten - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-lask-linz/n3VJlyni/;Sturm Graz - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-mattersburg/zP11WgWM/
29. ROUND;LASK Linz - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-salzburg/pz9lZen4/;AC Wolfsberger - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-mattersburg/4Q0tyIHi/;Altach - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-admira/vc8hYF1A/;Rapid Vienna - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-st-polten/nkjozxXc/;Sturm Graz - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-austria-vienna/Im7dXZGG/
28. ROUND;Mattersburg - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-rapid-vienna/zBMSHfHT/;Admira - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-lask-linz/vqTJJGnH/;Austria Vienna - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-altach/xK8fDEPp/;Salzburg - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-ac-wolfsberger/QZ1xxb2o/;St. Polten - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-sturm-graz/hnXNIz2N/
27. ROUND;Salzburg - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-austria-vienna/pMTFKdXA/;LASK Linz - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-mattersburg/h6F6OvYo/;Rapid Vienna - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-ac-wolfsberger/QJDEMI2b/;St. Polten - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-admira/nTEANbmh/;Sturm Graz - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-altach/6VUBLxI4/
