36. ROUND;Keila JK - Tallinna Kalev U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/keila-jk-tallinna-kalev-u21/SpL3Ol4i/;Levadia U21 - Rakvere;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/levadia-u21-rakvere/MmYH0oCp/;Maardu - Elva;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/maardu-starbunker-elva/0vXLa5Rj/;Nomme Kalju U21 - Tartu Welco;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/nomme-kalju-u21-tartu-jk-welco/G6ek5R3T/;Santos Tartu - Flora U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/santos-tartu-flora-tallinn-u21/23io67lN/
35. ROUND;Elva - Rakvere;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/elva-rakvere/6yK7N8Jc/;Flora U21 - Maardu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/flora-tallinn-u21-maardu-starbunker/l09CMSY3/;Tartu Welco - Santos Tartu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tartu-jk-welco-santos-tartu/23DGLnlA/;Levadia U21 - Tallinna Kalev U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/levadia-u21-tallinna-kalev-u21/dQCKK63G/;Keila JK - Nomme Kalju U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/keila-jk-nomme-kalju-u21/Ykzl3vYr/
34. ROUND;Santos Tartu - Levadia U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/santos-tartu-levadia-u21/UHTd1I2e/;Keila JK - Elva;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/keila-jk-elva/jRUh2bmk/;Tartu Welco - Flora U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tartu-jk-welco-flora-tallinn-u21/OvT00xI1/;Rakvere - Nomme Kalju U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/rakvere-nomme-kalju-u21/MPo4adX7/;Tallinna Kalev U21 - Maardu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tallinna-kalev-u21-maardu-starbunker/OUPnOuA8/
33. ROUND;Tallinna Kalev U21 - Flora U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tallinna-kalev-u21-flora-tallinn-u21/2LOjNaPE/;Elva - Santos Tartu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/elva-santos-tartu/WfTfMJvL/;Maardu - Keila JK;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/maardu-starbunker-keila-jk/GS4RGc2r/;Rakvere - Tartu Welco;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/rakvere-tartu-jk-welco/AoSbLwfR/;Levadia U21 - Nomme Kalju U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/levadia-u21-nomme-kalju-u21/UV8VFHHl/
32. ROUND;Elva - Tallinna Kalev U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/elva-tallinna-kalev-u21/2q7wEen1/;Tartu Welco - Levadia U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tartu-jk-welco-levadia-u21/Oh8ZEyXf/;Keila JK - Santos Tartu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/keila-jk-santos-tartu/reOzDF17/;Nomme Kalju U21 - Maardu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/nomme-kalju-u21-maardu-starbunker/MoNvCZGD/;Flora U21 - Rakvere;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/flora-tallinn-u21-rakvere/zkBMzJgE/
31. ROUND;Levadia U21 - Elva;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/levadia-u21-elva/lhFQZx9K/;Tartu Welco - Maardu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tartu-jk-welco-maardu-starbunker/WG4VYdOQ/;Flora U21 - Keila JK;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/flora-tallinn-u21-keila-jk/YPjcUGWs/;Tallinna Kalev U21 - Nomme Kalju U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tallinna-kalev-u21-nomme-kalju-u21/2ae1Tznl/;Santos Tartu - Rakvere;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/santos-tartu-rakvere/tjf5Sf1f/
30. ROUND;Levadia U21 - Maardu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/levadia-u21-maardu-starbunker/OEqAREG0/;Nomme Kalju U21 - Flora U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/nomme-kalju-u21-flora-tallinn-u21/UBnIPhoD/;Santos Tartu - Tallinna Kalev U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/santos-tartu-tallinna-kalev-u21/zkmEQYV6/;Rakvere - Keila JK;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/rakvere-keila-jk/tjSEPz1J/;Tartu Welco - Elva;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tartu-jk-welco-elva/82oMOC0J/
29. ROUND;Elva - Flora U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/elva-flora-tallinn-u21/Cv6cHC8a/;Keila JK - Levadia U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/keila-jk-levadia-u21/xMDpKEOt/;Nomme Kalju U21 - Santos Tartu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/nomme-kalju-u21-santos-tartu/jPHlJYwm/;Tallinna Kalev U21 - Tartu Welco;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tallinna-kalev-u21-tartu-jk-welco/KtRIOfGP/;Rakvere - Maardu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/rakvere-maardu-starbunker/Ym7gIhgg/
28. ROUND;Rakvere - Tallinna Kalev U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/rakvere-tallinna-kalev-u21/6FK0GWN5/;Elva - Nomme Kalju U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/elva-nomme-kalju-u21/SU89EAhI/;Tartu Welco - Keila JK;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/tartu-jk-welco-keila-jk/p6J4FjwC/;Flora U21 - Levadia U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/flora-tallinn-u21-levadia-u21/tYCDDU7O/;Maardu - Santos Tartu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/maardu-starbunker-santos-tartu/fy1exEpP/
27. ROUND;Elva - Santos Tartu;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/elva-santos-tartu/ELsSWi8n/;Rakvere - Flora U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/rakvere-flora-tallinn-u21/hCtWVBNh/;Keila JK - Nomme Kalju U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/keila-jk-nomme-kalju-u21/dpmNXXht/;Levadia U21 - Tartu Welco;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/levadia-u21-tartu-jk-welco/nZuzVVxa/;Maardu - Tallinna Kalev U21;https://www.betexplorer.com/soccer/estonia/esiliiga-2018/maardu-starbunker-tallinna-kalev-u21/b9qvUkh5/
