26. ROUND;Dnipro - Olimpik Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dnipro-olimpik-donetsk/hvkJ8TVO/;Met. Zaporizhya - Karpaty;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-metalurh-zaporizhya-karpaty/8zLEBVo6/;Shakhtar Donetsk - FK Zorya Luhansk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/shakhtar-zorya/EDLACBWa/;Vorskla Poltava - Oleksandriya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/vorskla-poltava-oleksandriya/0AH6DiHg/;Feniks Bucha - Ch. Odessa;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-feniks-bucha-ch-odessa/ve1lbW2a/;Hoverla Uzhhorod - Volyn Lutsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/hoverla-uzhhorod-volyn-lutsk/IoS1EX1m/;Metalist Kharkiv - Dyn. Kyiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/metalist-kharkiv-dynamo-kyiv/nRJIAk1C/
25. ROUND;Karpaty - Shakhtar Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/karpaty-shakhtar/67bqdjnJ/;Olimpik Donetsk - Feniks Bucha;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/olimpik-donetsk-fc-feniks-bucha/MJ6qaCmg/;Ch. Odessa - Metalist Kharkiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/ch-odessa-metalist-kharkiv/0AeybCH6/;Dyn. Kyiv - Met. Zaporizhya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dynamo-kyiv-fc-metalurh-zaporizhya/fXfucWWC/;FK Zorya Luhansk - Vorskla Poltava;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/zorya-vorskla-poltava/8CxSKZOJ/;Oleksandriya - Hoverla Uzhhorod;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/oleksandriya-hoverla-uzhhorod/n3yWJgvQ/;Volyn Lutsk - Dnipro;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/volyn-lutsk-dnipro/veTcFDns/
24. ROUND;Shakhtar Donetsk - Dyn. Kyiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/shakhtar-dynamo-kyiv/xUonK2Y8/;Dnipro - Feniks Bucha;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dnipro-fc-feniks-bucha/rT7u0hYn/;Hoverla Uzhhorod - FK Zorya Luhansk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/hoverla-uzhhorod-zorya/WWb0dat2/;Metalist Kharkiv - Olimpik Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/metalist-kharkiv-olimpik-donetsk/WU3K1fIs/;Met. Zaporizhya - Ch. Odessa;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-metalurh-zaporizhya-ch-odessa/KhyiJMmF/;Vorskla Poltava - Karpaty;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/vorskla-poltava-karpaty/bwmrLrJ2/;Volyn Lutsk - Oleksandriya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/volyn-lutsk-oleksandriya/Qi3O0EXm/
23. ROUND;Dyn. Kyiv - Vorskla Poltava;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dynamo-kyiv-vorskla-poltava/vZJL3slS/;FK Zorya Luhansk - Volyn Lutsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/zorya-volyn-lutsk/AHAibLBk/;Oleksandriya - Dnipro;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/oleksandriya-dnipro/ht0dcuRe/;Ch. Odessa - Shakhtar Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/ch-odessa-shakhtar/0rLH4NYL/;Feniks Bucha - Metalist Kharkiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-feniks-bucha-metalist-kharkiv/l68y1YIt/;Karpaty - Hoverla Uzhhorod;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/karpaty-hoverla-uzhhorod/dE6ma1dq/;Olimpik Donetsk - Met. Zaporizhya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/olimpik-donetsk-fc-metalurh-zaporizhya/r7QC53JF/
22. ROUND;Shakhtar Donetsk - Olimpik Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/shakhtar-olimpik-donetsk/2wSAorSq/;Volyn Lutsk - Karpaty;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/volyn-lutsk-karpaty/C89185Zd/;Vorskla Poltava - Ch. Odessa;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/vorskla-poltava-ch-odessa/0UuqjOJS/;Dnipro - Metalist Kharkiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dnipro-metalist-kharkiv/AgS47Pl3/;Hoverla Uzhhorod - Dyn. Kyiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/hoverla-uzhhorod-dynamo-kyiv/I5jvi44M/;Met. Zaporizhya - Feniks Bucha;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-metalurh-zaporizhya-fc-feniks-bucha/CpH95EAP/;Oleksandriya - FK Zorya Luhansk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/oleksandriya-zorya/A3VIqMdd/
21. ROUND;Dyn. Kyiv - Volyn Lutsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dynamo-kyiv-volyn-lutsk/WllSg6K3/;Feniks Bucha - Shakhtar Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-feniks-bucha-shakhtar/AuwRtVXO/;FK Zorya Luhansk - Dnipro;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/zorya-dnipro/42nzhpkG/;Karpaty - Oleksandriya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/karpaty-oleksandriya/AumWhQZ9/;Ch. Odessa - Hoverla Uzhhorod;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/ch-odessa-hoverla-uzhhorod/jwXUfn5c/;Metalist Kharkiv - Met. Zaporizhya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/metalist-kharkiv-fc-metalurh-zaporizhya/pttuYOcp/;Olimpik Donetsk - Vorskla Poltava;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/olimpik-donetsk-vorskla-poltava/CnYQeSki/
20. ROUND;Hoverla Uzhhorod - Olimpik Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/hoverla-uzhhorod-olimpik-donetsk/4M8mr9Li/;Volyn Lutsk - Ch. Odessa;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/volyn-lutsk-ch-odessa/0848wozN/;Dnipro - Met. Zaporizhya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dnipro-fc-metalurh-zaporizhya/va3Cx5kT/;FK Zorya Luhansk - Karpaty;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/zorya-karpaty/hr10u75A/;Oleksandriya - Dyn. Kyiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/oleksandriya-dynamo-kyiv/WYa4vRKG/;Vorskla Poltava - Feniks Bucha;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/vorskla-poltava-fc-feniks-bucha/WlvNsBII/;Shakhtar Donetsk - Metalist Kharkiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/shakhtar-metalist-kharkiv/AJBetmj4/
19. ROUND;Dyn. Kyiv - FK Zorya Luhansk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dynamo-kyiv-zorya/lEQ0K5Tp/;Karpaty - Dnipro;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/karpaty-dnipro/QV9qqk6o/;Olimpik Donetsk - Volyn Lutsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/olimpik-donetsk-volyn-lutsk/hruVPR5N/;Ch. Odessa - Oleksandriya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/ch-odessa-oleksandriya/n5vZOoLT/;Feniks Bucha - Hoverla Uzhhorod;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-feniks-bucha-hoverla-uzhhorod/OOvJri3C/;Metalist Kharkiv - Vorskla Poltava;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/metalist-kharkiv-vorskla-poltava/dGoMRmyB/;Met. Zaporizhya - Shakhtar Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-metalurh-zaporizhya-shakhtar/IPnISTL4/
18. ROUND;Dnipro - Shakhtar Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dnipro-shakhtar/OlYET96b/;Hoverla Uzhhorod - Metalist Kharkiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/hoverla-uzhhorod-metalist-kharkiv/tSZoQz06/;Volyn Lutsk - Feniks Bucha;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/volyn-lutsk-fc-feniks-bucha/pYuFqXm6/;FK Zorya Luhansk - Ch. Odessa;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/zorya-ch-odessa/lWu2WBMu/;Oleksandriya - Olimpik Donetsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/oleksandriya-olimpik-donetsk/2Zq6VVyn/;Vorskla Poltava - Met. Zaporizhya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/vorskla-poltava-fc-metalurh-zaporizhya/b3UjPfFC/;Karpaty - Dyn. Kyiv;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/karpaty-dynamo-kyiv/xfTfOEUI/
17. ROUND;Metalist Kharkiv - Volyn Lutsk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/metalist-kharkiv-volyn-lutsk/C6d3YbhQ/;Olimpik Donetsk - FK Zorya Luhansk;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/olimpik-donetsk-zorya/dvYZSxGm/;Shakhtar Donetsk - Vorskla Poltava;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/shakhtar-vorskla-poltava/4tgezLND/;Ch. Odessa - Karpaty;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/ch-odessa-karpaty/8EyvSdVg/;Dyn. Kyiv - Dnipro;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/dynamo-kyiv-dnipro/2yyrRGp0/;Feniks Bucha - Oleksandriya;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-feniks-bucha-oleksandriya/29jApDYa/;Met. Zaporizhya - Hoverla Uzhhorod;https://www.betexplorer.com/soccer/ukraine/pari-match-league-2015-2016/fc-metalurh-zaporizhya-hoverla-uzhhorod/rXiaZvwK/
