28. ROUND;Athlone - Cobh Ramblers;https://www.betexplorer.com/soccer/ireland/division-1-2016/athlone-cobh-ramblers/ppld6kuh/;Cabinteely - Limerick;https://www.betexplorer.com/soccer/ireland/division-1-2016/cabinteely-limerick/v7m059fb/;Drogheda - UC Dublin;https://www.betexplorer.com/soccer/ireland/division-1-2016/drogheda-uc-dublin/hAi44T94/;Shelbourne - Waterford;https://www.betexplorer.com/soccer/ireland/division-1-2016/shelbourne-waterford/zZt93mPA/
27. ROUND;Waterford - Athlone;https://www.betexplorer.com/soccer/ireland/division-1-2016/waterford-athlone/IsrjmSvU/;Cobh Ramblers - Cabinteely;https://www.betexplorer.com/soccer/ireland/division-1-2016/cobh-ramblers-cabinteely/6gkh7VPo/;Limerick - Drogheda;https://www.betexplorer.com/soccer/ireland/division-1-2016/limerick-drogheda/KjUHrnmo/;UC Dublin - Shelbourne;https://www.betexplorer.com/soccer/ireland/division-1-2016/uc-dublin-shelbourne/OKrnl8PN/
25. ROUND;Limerick - Athlone;https://www.betexplorer.com/soccer/ireland/division-1-2016/limerick-athlone/txmRhWAh/
24. ROUND;Cobh Ramblers - Limerick;https://www.betexplorer.com/soccer/ireland/division-1-2016/cobh-ramblers-limerick/dAr7myZC/;Waterford - UC Dublin;https://www.betexplorer.com/soccer/ireland/division-1-2016/waterford-uc-dublin/vZm2lHJ6/
26. ROUND;Cobh Ramblers - Waterford;https://www.betexplorer.com/soccer/ireland/division-1-2016/cobh-ramblers-waterford/AHvrklAH/;Athlone - UC Dublin;https://www.betexplorer.com/soccer/ireland/division-1-2016/athlone-uc-dublin/KSoVijQb/;Cabinteely - Drogheda;https://www.betexplorer.com/soccer/ireland/division-1-2016/cabinteely-drogheda/l2jZjAu5/;Shelbourne - Limerick;https://www.betexplorer.com/soccer/ireland/division-1-2016/shelbourne-limerick/ShkwjUfB/
25. ROUND;Drogheda - Shelbourne;https://www.betexplorer.com/soccer/ireland/division-1-2016/drogheda-shelbourne/z1sBnelJ/;UC Dublin - Cobh Ramblers;https://www.betexplorer.com/soccer/ireland/division-1-2016/uc-dublin-cobh-ramblers/nwfIfhtt/;Waterford - Cabinteely;https://www.betexplorer.com/soccer/ireland/division-1-2016/waterford-cabinteely/bDcMgCen/
24. ROUND;Athlone - Drogheda;https://www.betexplorer.com/soccer/ireland/division-1-2016/athlone-drogheda/6Lkfjwkf/;Cabinteely - Shelbourne;https://www.betexplorer.com/soccer/ireland/division-1-2016/cabinteely-shelbourne/0rkbkc40/
23. ROUND;Limerick - Waterford;https://www.betexplorer.com/soccer/ireland/division-1-2016/limerick-waterford/hIojiJZm/;Cabinteely - UC Dublin;https://www.betexplorer.com/soccer/ireland/division-1-2016/cabinteely-uc-dublin/0KAFcLdK/;Drogheda - Cobh Ramblers;https://www.betexplorer.com/soccer/ireland/division-1-2016/drogheda-cobh-ramblers/8pAJduCQ/;Shelbourne - Athlone;https://www.betexplorer.com/soccer/ireland/division-1-2016/shelbourne-athlone/AgdohaKs/
22. ROUND;UC Dublin - Limerick;https://www.betexplorer.com/soccer/ireland/division-1-2016/uc-dublin-limerick/6LTOzbk7/;Cobh Ramblers - Shelbourne;https://www.betexplorer.com/soccer/ireland/division-1-2016/cobh-ramblers-shelbourne/MTBBb1sE/;Athlone - Cabinteely;https://www.betexplorer.com/soccer/ireland/division-1-2016/athlone-cabinteely/KOXSZH4D/;Waterford - Drogheda;https://www.betexplorer.com/soccer/ireland/division-1-2016/waterford-drogheda/CbUKyvz1/
21. ROUND;Cobh Ramblers - Athlone;https://www.betexplorer.com/soccer/ireland/division-1-2016/cobh-ramblers-athlone/Y7VGxKKf/;Limerick - Cabinteely;https://www.betexplorer.com/soccer/ireland/division-1-2016/limerick-cabinteely/GWzCw05l/;UC Dublin - Drogheda;https://www.betexplorer.com/soccer/ireland/division-1-2016/uc-dublin-drogheda/K0ktqMsR/;Waterford - Shelbourne;https://www.betexplorer.com/soccer/ireland/division-1-2016/waterford-shelbourne/xtx8vtjr/
20. ROUND;Athlone - Waterford;https://www.betexplorer.com/soccer/ireland/division-1-2016/athlone-waterford/MFWxp2SK/;Cabinteely - Cobh Ramblers;https://www.betexplorer.com/soccer/ireland/division-1-2016/cabinteely-cobh-ramblers/visYprDE/;Drogheda - Limerick;https://www.betexplorer.com/soccer/ireland/division-1-2016/drogheda-limerick/00rUoOc8/;Shelbourne - UC Dublin;https://www.betexplorer.com/soccer/ireland/division-1-2016/shelbourne-uc-dublin/CpknNvL7/
19. ROUND;Drogheda - Cabinteely;https://www.betexplorer.com/soccer/ireland/division-1-2016/drogheda-cabinteely/jV0wP0je/;Limerick - Shelbourne;https://www.betexplorer.com/soccer/ireland/division-1-2016/limerick-shelbourne/YgjrOK51/;UC Dublin - Athlone;https://www.betexplorer.com/soccer/ireland/division-1-2016/uc-dublin-athlone/xSdZPtyk/;Waterford - Cobh Ramblers;https://www.betexplorer.com/soccer/ireland/division-1-2016/waterford-cobh-ramblers/r5cVQMLr/
18. ROUND;Cobh Ramblers - UC Dublin;https://www.betexplorer.com/soccer/ireland/division-1-2016/cobh-ramblers-uc-dublin/tdB3V2DR/;Athlone - Limerick;https://www.betexplorer.com/soccer/ireland/division-1-2016/athlone-limerick/SWebY4T8/;Cabinteely - Waterford;https://www.betexplorer.com/soccer/ireland/division-1-2016/cabinteely-waterford/Mge2XOrF/;Shelbourne - Drogheda;https://www.betexplorer.com/soccer/ireland/division-1-2016/shelbourne-drogheda/0pf6WrbL/
